Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
MON,NL,1990,598,85,0.322,0.37,0.25,0,,,162,,,662
NYM,NL,1990,613,91,0.32299999999999995,0.408,0.256,0,,,162,,,775
NYY,AL,1990,749,67,0.3,0.366,0.24100000000000002,0,,,162,,,603
OAK,AL,1990,570,103,0.336,0.391,0.254,1,1,2,162,,,733
PHI,NL,1990,729,77,0.327,0.363,0.255,0,,,162,,,646
PIT,NL,1990,619,95,0.33,0.405,0.259,1,2,3,162,,,733
SDP,NL,1990,673,75,0.32,0.38,0.257,0,,,162,,,673
SEA,AL,1990,680,77,0.33299999999999996,0.373,0.259,0,,,162,,,640
SFG,NL,1990,710,85,0.32299999999999995,0.396,0.262,0,,,162,,,719
STL,NL,1990,698,70,0.32,0.358,0.256,0,,,162,,,599
TEX,AL,1990,696,83,0.331,0.376,0.259,0,,,162,,,676
TOR,AL,1990,661,86,0.32799999999999996,0.419,0.265,0,,,162,,,767
ATL,NL,1989,680,63,0.298,0.35,0.23399999999999999,0,,,161,,,584
BAL,AL,1989,686,87,0.326,0.379,0.252,0,,,162,,,708
BOS,AL,1989,735,83,0.35100000000000003,0.40299999999999997,0.27699999999999997,0,,,162,,,774
CAL,AL,1989,578,91,0.311,0.386,0.256,0,,,162,,,669
CHC,NL,1989,623,93,0.319,0.387,0.261,1,2,3,162,,,702
CHW,AL,1989,750,69,0.32799999999999996,0.38299999999999995,0.271,0,,,161,,,693
CIN,NL,1989,691,75,0.309,0.37,0.247,0,,,162,,,632
CLE,AL,1989,654,73,0.31,0.365,0.245,0,,,162,,,604
DET,AL,1989,816,59,0.318,0.35100000000000003,0.242,0,,,162,,,617
HOU,NL,1989,669,86,0.306,0.345,0.239,0,,,162,,,647
KCR,AL,1989,635,92,0.32899999999999996,0.373,0.261,0,,,162,,,690
LAD,NL,1989,536,77,0.306,0.33899999999999997,0.24,0,,,160,,,554
MIL,AL,1989,679,81,0.318,0.382,0.259,0,,,162,,,707
MIN,AL,1989,738,80,0.33399999999999996,0.402,0.276,0,,,162,,,740
MON,NL,1989,630,81,0.319,0.361,0.247,0,,,162,,,632
NYM,NL,1989,595,87,0.311,0.385,0.24600000000000002,0,,,162,,,683
NYY,AL,1989,792,74,0.331,0.391,0.26899999999999996,0,,,161,,,698
OAK,AL,1989,576,99,0.331,0.381,0.261,1,1,1,162,,,712
PHI,NL,1989,735,67,0.314,0.364,0.243,0,,,163,,,629
PIT,NL,1989,680,74,0.311,0.359,0.24100000000000002,0,,,164,,,637
SDP,NL,1989,626,89,0.319,0.369,0.251,0,,,162,,,642
SEA,AL,1989,728,73,0.32,0.384,0.257,0,,,162,,,694
SFG,NL,1989,600,92,0.316,0.39,0.25,1,3,2,162,,,699
STL,NL,1989,608,86,0.321,0.363,0.258,0,,,164,,,632
TEX,AL,1989,714,83,0.326,0.39399999999999996,0.263,0,,,162,,,695
TOR,AL,1989,651,89,0.32299999999999995,0.39799999999999996,0.26,1,4,3,162,,,731
ATL,NL,1988,741,54,0.298,0.348,0.242,0,,,160,,,555
BAL,AL,1988,789,54,0.305,0.359,0.23800000000000002,0,,,161,,,550
BOS,AL,1988,689,89,0.35700000000000004,0.42,0.28300000000000003,1,4,3,162,,,813
CAL,AL,1988,771,75,0.321,0.385,0.261,0,,,162,,,714
CHC,NL,1988,694,77,0.31,0.38299999999999995,0.261,0,,,163,,,660
CHW,AL,1988,757,71,0.303,0.37,0.244,0,,,161,,,631
CIN,NL,1988,596,87,0.309,0.368,0.24600000000000002,0,,,161,,,641
CLE,AL,1988,731,78,0.314,0.387,0.261,0,,,162,,,666
DET,AL,1988,658,88,0.324,0.37799999999999995,0.25,0,,,162,,,703
HOU,NL,1988,631,82,0.306,0.35100000000000003,0.244,0,,,162,,,617
KCR,AL,1988,648,84,0.321,0.391,0.259,0,,,161,,,704
LAD,NL,1988,544,94,0.305,0.35200000000000004,0.248,1,3,1,162,,,628
MIL,AL,1988,616,87,0.314,0.375,0.257,0,,,162,,,682
MIN,AL,1988,672,91,0.34,0.42100000000000004,0.27399999999999997,0,,,162,,,759
MON,NL,1988,592,81,0.309,0.373,0.251,0,,,163,,,628
NYM,NL,1988,532,100,0.325,0.396,0.256,1,2,3,160,,,703
NYY,AL,1988,748,85,0.33299999999999996,0.395,0.263,0,,,161,,,772
OAK,AL,1988,620,104,0.336,0.39899999999999997,0.263,1,1,2,162,,,800
PHI,NL,1988,734,65,0.306,0.355,0.239,0,,,162,,,597
PIT,NL,1988,616,85,0.317,0.369,0.247,0,,,160,,,651
SDP,NL,1988,583,83,0.31,0.35100000000000003,0.247,0,,,161,,,594
SEA,AL,1988,744,68,0.317,0.39799999999999996,0.257,0,,,161,,,664
SFG,NL,1988,626,83,0.318,0.368,0.248,0,,,162,,,670
STL,NL,1988,633,76,0.309,0.337,0.249,0,,,162,,,578
TEX,AL,1988,735,70,0.32,0.368,0.252,0,,,161,,,637
TOR,AL,1988,680,87,0.332,0.419,0.268,0,,,162,,,763
ATL,NL,1987,829,69,0.33899999999999997,0.40299999999999997,0.258,0,,,161,,,747
BAL,AL,1987,880,67,0.322,0.418,0.258,0,,,162,,,729
BOS,AL,1987,825,78,0.35200000000000004,0.43,0.278,0,,,162,,,842
CAL,AL,1987,803,75,0.326,0.401,0.252,0,,,162,,,770
CHC,NL,1987,801,76,0.326,0.43200000000000005,0.264,0,,,161,,,720
CHW,AL,1987,746,77,0.319,0.415,0.258,0,,,162,,,748
CIN,NL,1987,752,84,0.33,0.42700000000000005,0.266,0,,,162,,,783
CLE,AL,1987,957,61,0.324,0.42200000000000004,0.263,0,,,162,,,742
DET,AL,1987,735,98,0.349,0.451,0.272,1,1,3,162,,,896
HOU,NL,1987,678,76,0.318,0.373,0.253,0,,,162,,,648
KCR,AL,1987,691,83,0.32799999999999996,0.41200000000000003,0.262,0,,,162,,,715
LAD,NL,1987,675,73,0.309,0.371,0.252,0,,,162,,,635
MIL,AL,1987,817,91,0.34600000000000003,0.428,0.276,0,,,162,,,862
MIN,AL,1987,806,85,0.32799999999999996,0.43,0.261,1,4,1,162,,,786
MON,NL,1987,720,91,0.32799999999999996,0.401,0.265,0,,,162,,,741
NYM,NL,1987,698,92,0.33899999999999997,0.434,0.268,0,,,162,,,823
NYY,AL,1987,758,89,0.336,0.418,0.262,0,,,162,,,788
OAK,AL,1987,789,81,0.33299999999999996,0.428,0.26,0,,,162,,,806
PHI,NL,1987,749,80,0.327,0.41,0.254,0,,,162,,,702
PIT,NL,1987,744,80,0.33,0.40299999999999997,0.264,0,,,162,,,723
SDP,NL,1987,763,65,0.332,0.37799999999999995,0.26,0,,,162,,,668
SEA,AL,1987,801,78,0.335,0.428,0.272,0,,,162,,,760
SFG,NL,1987,669,90,0.324,0.43,0.26,1,3,3,162,,,783
STL,NL,1987,693,95,0.34,0.37799999999999995,0.263,1,2,2,162,,,798
TEX,AL,1987,849,75,0.33299999999999996,0.43,0.266,0,,,162,,,823
TOR,AL,1987,655,96,0.336,0.446,0.26899999999999996,0,,,162,,,845
ATL,NL,1986,719,72,0.319,0.381,0.25,0,,,161,,,615
BAL,AL,1986,760,73,0.327,0.395,0.258,0,,,162,,,708
BOS,AL,1986,696,95,0.34600000000000003,0.415,0.271,1,3,2,161,,,794
CAL,AL,1986,684,92,0.33799999999999997,0.40399999999999997,0.255,1,4,3,162,,,786
CHC,NL,1986,781,70,0.318,0.39799999999999996,0.256,0,,,160,,,680
CHW,AL,1986,699,72,0.31,0.363,0.247,0,,,162,,,644
CIN,NL,1986,717,86,0.325,0.387,0.254,0,,,162,,,732
CLE,AL,1986,841,84,0.337,0.43,0.284,0,,,163,,,831
DET,AL,1986,714,87,0.33799999999999997,0.424,0.263,0,,,162,,,798
HOU,NL,1986,569,96,0.322,0.381,0.255,1,2,3,162,,,654
KCR,AL,1986,673,76,0.313,0.39,0.252,0,,,162,,,654
LAD,NL,1986,679,73,0.313,0.37,0.251,0,,,162,,,638
MIL,AL,1986,734,77,0.321,0.385,0.255,0,,,161,,,667
MIN,AL,1986,839,71,0.325,0.428,0.261,0,,,162,,,741
MON,NL,1986,688,78,0.322,0.379,0.254,0,,,161,,,637
NYM,NL,1986,578,108,0.33899999999999997,0.401,0.263,1,1,1,162,,,783
NYY,AL,1986,738,90,0.34700000000000003,0.43,0.271,0,,,162,,,797
OAK,AL,1986,760,76,0.322,0.39,0.252,0,,,162,,,731
PHI,NL,1986,713,86,0.327,0.4,0.253,0,,,161,,,739
PIT,NL,1986,700,64,0.321,0.374,0.25,0,,,162,,,663
SDP,NL,1986,723,74,0.321,0.38799999999999996,0.261,0,,,162,,,656
SEA,AL,1986,835,67,0.326,0.39899999999999997,0.253,0,,,162,,,718
SFG,NL,1986,618,83,0.322,0.375,0.253,0,,,162,,,698
STL,NL,1986,611,79,0.309,0.327,0.23600000000000002,0,,,161,,,601
TEX,AL,1986,743,87,0.331,0.428,0.267,0,,,162,,,771
TOR,AL,1986,733,86,0.32899999999999996,0.42700000000000005,0.26899999999999996,0,,,163,,,809
ATL,NL,1985,781,66,0.315,0.363,0.24600000000000002,0,,,162,,,632
BAL,AL,1985,764,83,0.336,0.43,0.263,0,,,161,,,818
BOS,AL,1985,720,81,0.34700000000000003,0.429,0.282,0,,,163,,,800
CAL,AL,1985,703,90,0.33299999999999996,0.386,0.251,0,,,162,,,732
CHC,NL,1985,729,77,0.324,0.39,0.254,0,,,162,,,686
CHW,AL,1985,720,85,0.315,0.392,0.253,0,,,163,,,736
CIN,NL,1985,666,89,0.327,0.376,0.255,0,,,162,,,677
CLE,AL,1985,861,60,0.324,0.385,0.265,0,,,162,,,729
DET,AL,1985,688,84,0.318,0.424,0.253,0,,,161,,,729
HOU,NL,1985,691,83,0.319,0.38799999999999996,0.261,0,,,162,,,706
KCR,AL,1985,639,91,0.313,0.401,0.252,1,4,1,162,,,687
LAD,NL,1985,579,95,0.32799999999999996,0.382,0.261,1,3,3,162,,,682
MIL,AL,1985,802,71,0.319,0.379,0.263,0,,,161,,,690
MIN,AL,1985,782,77,0.326,0.40700000000000003,0.264,0,,,162,,,705
MON,NL,1985,636,84,0.31,0.375,0.247,0,,,161,,,633
NYM,NL,1985,568,98,0.32299999999999995,0.385,0.257,0,,,162,,,695
NYY,AL,1985,660,97,0.344,0.425,0.267,0,,,161,,,839
OAK,AL,1985,787,77,0.325,0.401,0.264,0,,,162,,,757
PHI,NL,1985,673,75,0.312,0.38299999999999995,0.245,0,,,162,,,667
PIT,NL,1985,708,57,0.311,0.34700000000000003,0.247,0,,,161,,,568
SDP,NL,1985,622,83,0.32,0.368,0.255,0,,,162,,,650
SEA,AL,1985,818,74,0.326,0.41200000000000003,0.255,0,,,162,,,719
SFG,NL,1985,674,62,0.299,0.348,0.233,0,,,162,,,556
STL,NL,1985,572,101,0.335,0.379,0.264,1,1,2,162,,,747
TEX,AL,1985,785,62,0.322,0.381,0.253,0,,,161,,,617
TOR,AL,1985,588,99,0.331,0.425,0.26899999999999996,1,2,3,161,,,759
ATL,NL,1984,655,80,0.317,0.361,0.247,0,,,162,,,632
BAL,AL,1984,667,85,0.32799999999999996,0.391,0.252,0,,,162,,,681
BOS,AL,1984,764,86,0.341,0.441,0.28300000000000003,0,,,162,,,810
CAL,AL,1984,697,81,0.319,0.381,0.249,0,,,162,,,696
CHC,NL,1984,658,96,0.331,0.397,0.26,1,2,3,161,,,762
CHW,AL,1984,736,74,0.314,0.395,0.247,0,,,162,,,679
CIN,NL,1984,747,70,0.313,0.35600000000000004,0.244,0,,,162,,,627
CLE,AL,1984,766,75,0.335,0.384,0.265,0,,,163,,,761
DET,AL,1984,643,104,0.342,0.43200000000000005,0.271,1,1,1,162,,,829
HOU,NL,1984,630,80,0.32299999999999995,0.371,0.264,0,,,162,,,693
KCR,AL,1984,686,84,0.317,0.39899999999999997,0.268,1,4,3,162,,,673
LAD,NL,1984,600,79,0.306,0.348,0.244,0,,,162,,,580
MIL,AL,1984,734,67,0.317,0.37,0.262,0,,,161,,,641
MIN,AL,1984,675,81,0.318,0.385,0.265,0,,,162,,,673
MON,NL,1984,585,78,0.312,0.36200000000000004,0.251,0,,,161,,,593
NYM,NL,1984,676,90,0.32,0.369,0.257,0,,,162,,,652
NYY,AL,1984,679,87,0.33899999999999997,0.40399999999999997,0.276,0,,,162,,,758
OAK,AL,1984,796,77,0.327,0.40399999999999997,0.259,0,,,162,,,738
PHI,NL,1984,690,81,0.33299999999999996,0.40700000000000003,0.266,0,,,162,,,720
PIT,NL,1984,567,75,0.31,0.363,0.255,0,,,162,,,615
SDP,NL,1984,634,92,0.317,0.371,0.259,1,3,2,162,,,686
SEA,AL,1984,774,74,0.324,0.384,0.258,0,,,162,,,682
SFG,NL,1984,807,66,0.32799999999999996,0.375,0.265,0,,,162,,,682
STL,NL,1984,645,84,0.317,0.35100000000000003,0.252,0,,,162,,,652
TEX,AL,1984,714,69,0.313,0.377,0.261,0,,,161,,,656
TOR,AL,1984,696,89,0.331,0.42100000000000004,0.273,0,,,163,,,750
ATL,NL,1983,640,88,0.341,0.4,0.272,0,,,162,,,746
BAL,AL,1983,652,98,0.34,0.42100000000000004,0.26899999999999996,1,2,1,162,,,799
BOS,AL,1983,775,78,0.335,0.409,0.27,0,,,162,,,724
CAL,AL,1983,779,70,0.322,0.39299999999999996,0.26,0,,,162,,,722
CHC,NL,1983,719,71,0.319,0.401,0.261,0,,,162,,,701
CHW,AL,1983,650,99,0.32899999999999996,0.413,0.262,1,1,3,162,,,800
CIN,NL,1983,710,74,0.314,0.35600000000000004,0.239,0,,,162,,,623
CLE,AL,1983,785,70,0.33799999999999997,0.369,0.265,0,,,162,,,704
DET,AL,1983,679,92,0.335,0.42700000000000005,0.27399999999999997,0,,,162,,,789
HOU,NL,1983,646,85,0.32,0.375,0.257,0,,,162,,,643
KCR,AL,1983,767,79,0.32,0.397,0.271,0,,,163,,,696
LAD,NL,1983,609,91,0.318,0.379,0.25,1,3,3,163,,,654
MIL,AL,1983,708,87,0.33299999999999996,0.418,0.27699999999999997,0,,,162,,,764
MIN,AL,1983,822,70,0.319,0.401,0.261,0,,,162,,,709
MON,NL,1983,646,82,0.326,0.386,0.264,0,,,163,,,677
NYM,NL,1983,680,68,0.3,0.344,0.24100000000000002,0,,,162,,,575
NYY,AL,1983,703,91,0.337,0.41600000000000004,0.273,0,,,162,,,770
OAK,AL,1983,782,74,0.326,0.381,0.262,0,,,162,,,708
PHI,NL,1983,635,90,0.32899999999999996,0.373,0.249,1,4,2,163,,,696
PIT,NL,1983,648,84,0.325,0.38299999999999995,0.264,0,,,162,,,659
SDP,NL,1983,653,81,0.311,0.35100000000000003,0.25,0,,,163,,,653
SEA,AL,1983,740,60,0.301,0.36,0.24,0,,,162,,,558
SFG,NL,1983,697,79,0.325,0.375,0.247,0,,,162,,,687
STL,NL,1983,710,79,0.335,0.384,0.27,0,,,162,,,679
TEX,AL,1983,609,77,0.31,0.366,0.255,0,,,163,,,639
TOR,AL,1983,726,89,0.33799999999999997,0.436,0.27699999999999997,0,,,162,,,795
ATL,NL,1982,702,89,0.325,0.38299999999999995,0.256,1,4,3,162,,,739
BAL,AL,1982,687,94,0.341,0.419,0.266,0,,,163,,,774
BOS,AL,1982,713,89,0.34,0.40700000000000003,0.27399999999999997,0,,,162,,,753
CAL,AL,1982,670,93,0.34700000000000003,0.433,0.27399999999999997,1,2,3,162,,,814
CHC,NL,1982,709,73,0.317,0.375,0.26,0,,,162,,,676
CHW,AL,1982,710,87,0.337,0.413,0.273,0,,,162,,,786
CIN,NL,1982,661,61,0.31,0.35,0.251,0,,,162,,,545
CLE,AL,1982,748,78,0.341,0.373,0.262,0,,,162,,,683
DET,AL,1982,685,83,0.324,0.418,0.266,0,,,162,,,729
HOU,NL,1982,620,77,0.302,0.349,0.247,0,,,162,,,569
KCR,AL,1982,717,90,0.337,0.428,0.285,0,,,162,,,784
LAD,NL,1982,612,88,0.327,0.38799999999999996,0.264,0,,,162,,,691
MIL,AL,1982,717,95,0.335,0.455,0.27899999999999997,1,1,2,163,,,891
MIN,AL,1982,819,60,0.316,0.396,0.257,0,,,162,,,657
MON,NL,1982,616,86,0.325,0.396,0.262,0,,,162,,,697
NYM,NL,1982,723,65,0.305,0.35,0.247,0,,,162,,,609
NYY,AL,1982,716,79,0.32799999999999996,0.39799999999999996,0.256,0,,,162,,,709
OAK,AL,1982,819,68,0.309,0.36700000000000005,0.23600000000000002,0,,,162,,,691
PHI,NL,1982,654,89,0.32299999999999995,0.376,0.26,0,,,162,,,664
PIT,NL,1982,696,84,0.327,0.408,0.273,0,,,162,,,724
SDP,NL,1982,658,81,0.311,0.359,0.257,0,,,162,,,675
SEA,AL,1982,712,76,0.311,0.381,0.254,0,,,162,,,651
SFG,NL,1982,687,87,0.327,0.376,0.253,0,,,162,,,673
STL,NL,1982,609,92,0.33399999999999996,0.364,0.264,1,3,1,162,,,685
TEX,AL,1982,749,64,0.308,0.359,0.249,0,,,162,,,590
TOR,AL,1982,701,78,0.314,0.38299999999999995,0.262,0,,,162,,,651
ATL,NL,1980,660,81,0.307,0.38,0.25,0,,,161,,,630
BAL,AL,1980,640,100,0.342,0.413,0.273,0,,,162,,,805
BOS,AL,1980,767,83,0.34,0.436,0.28300000000000003,0,,,160,,,757
CAL,AL,1980,797,65,0.332,0.37799999999999995,0.265,0,,,160,,,698
CHC,NL,1980,728,64,0.309,0.365,0.251,0,,,162,,,614
CHW,AL,1980,722,70,0.311,0.37,0.259,0,,,162,,,587
CIN,NL,1980,670,89,0.327,0.386,0.262,0,,,163,,,707
CLE,AL,1980,807,79,0.35,0.381,0.27699999999999997,0,,,160,,,738
DET,AL,1980,757,84,0.348,0.409,0.273,0,,,163,,,830
HOU,NL,1980,589,93,0.326,0.36700000000000005,0.261,1,3,3,163,,,637
KCR,AL,1980,694,97,0.345,0.413,0.28600000000000003,1,2,2,162,,,809
LAD,NL,1980,591,92,0.32299999999999995,0.38799999999999996,0.263,0,,,163,,,663
MIL,AL,1980,682,86,0.32899999999999996,0.44799999999999995,0.275,0,,,162,,,811
MIN,AL,1980,724,77,0.319,0.381,0.265,0,,,161,,,670
MON,NL,1980,629,90,0.324,0.38799999999999996,0.257,0,,,162,,,694
NYM,NL,1980,702,67,0.319,0.345,0.257,0,,,162,,,611
NYY,AL,1980,662,103,0.34299999999999997,0.425,0.267,1,1,3,162,,,820
OAK,AL,1980,642,83,0.322,0.385,0.259,0,,,162,,,686
PHI,NL,1980,639,91,0.327,0.4,0.27,1,4,1,162,,,728
PIT,NL,1980,646,83,0.322,0.38799999999999996,0.266,0,,,162,,,666
SDP,NL,1980,654,73,0.324,0.342,0.255,0,,,163,,,591
SEA,AL,1980,793,59,0.308,0.35600000000000004,0.248,0,,,163,,,610
SFG,NL,1980,634,75,0.308,0.342,0.244,0,,,161,,,573
STL,NL,1980,710,74,0.32799999999999996,0.4,0.275,0,,,162,,,738
TEX,AL,1980,752,76,0.33899999999999997,0.405,0.284,0,,,163,,,756
TOR,AL,1980,762,67,0.309,0.38299999999999995,0.251,0,,,162,,,624
ATL,NL,1979,763,66,0.318,0.377,0.256,0,,,160,,,669
BAL,AL,1979,582,102,0.336,0.419,0.261,1,1,2,159,,,757
BOS,AL,1979,711,91,0.344,0.456,0.28300000000000003,0,,,160,,,841
CAL,AL,1979,768,88,0.35100000000000003,0.429,0.282,1,4,3,162,,,866
CHC,NL,1979,707,80,0.32899999999999996,0.40299999999999997,0.26899999999999996,0,,,162,,,706
CHW,AL,1979,748,73,0.33299999999999996,0.41,0.275,0,,,160,,,730
CIN,NL,1979,644,90,0.33799999999999997,0.396,0.264,1,3,3,161,,,731
CLE,AL,1979,805,81,0.34,0.384,0.258,0,,,161,,,760
DET,AL,1979,738,84,0.33899999999999997,0.415,0.26899999999999996,0,,,161,,,770
HOU,NL,1979,582,89,0.315,0.344,0.256,0,,,162,,,583
KCR,AL,1979,816,85,0.34299999999999997,0.42200000000000004,0.282,0,,,162,,,851
LAD,NL,1979,717,79,0.331,0.41200000000000003,0.263,0,,,162,,,739
MIL,AL,1979,722,95,0.345,0.44799999999999995,0.28,0,,,161,,,807
MIN,AL,1979,725,82,0.341,0.402,0.278,0,,,162,,,764
MON,NL,1979,581,95,0.319,0.408,0.264,0,,,160,,,701
NYM,NL,1979,706,63,0.313,0.35,0.25,0,,,163,,,593
NYY,AL,1979,672,89,0.32799999999999996,0.406,0.266,0,,,160,,,734
OAK,AL,1979,860,54,0.302,0.34600000000000003,0.239,0,,,162,,,573
PHI,NL,1979,718,84,0.34,0.396,0.266,0,,,163,,,683
PIT,NL,1979,643,98,0.33,0.41600000000000004,0.272,1,2,1,163,,,775
SDP,NL,1979,681,68,0.311,0.348,0.242,0,,,161,,,603
SEA,AL,1979,820,67,0.331,0.40399999999999997,0.26899999999999996,0,,,162,,,711
SFG,NL,1979,751,71,0.319,0.365,0.24600000000000002,0,,,162,,,672
STL,NL,1979,693,86,0.331,0.401,0.278,0,,,163,,,731
TEX,AL,1979,698,83,0.33399999999999996,0.409,0.278,0,,,162,,,750
TOR,AL,1979,862,53,0.311,0.363,0.251,0,,,162,,,613
ATL,NL,1978,750,69,0.315,0.363,0.244,0,,,162,,,600
BAL,AL,1978,633,90,0.326,0.396,0.258,0,,,161,,,659
BOS,AL,1978,657,99,0.336,0.424,0.267,0,,,163,,,796
CAL,AL,1978,666,87,0.33,0.37,0.259,0,,,162,,,691
CHC,NL,1978,724,79,0.331,0.361,0.264,0,,,162,,,664
CHW,AL,1978,731,71,0.317,0.379,0.264,0,,,161,,,634
CIN,NL,1978,688,92,0.33399999999999996,0.39299999999999996,0.256,0,,,161,,,710
CLE,AL,1978,694,69,0.32299999999999995,0.379,0.261,0,,,159,,,639
DET,AL,1978,653,86,0.33899999999999997,0.392,0.271,0,,,162,,,714
HOU,NL,1978,634,74,0.313,0.355,0.258,0,,,162,,,605
KCR,AL,1978,634,92,0.32899999999999996,0.39899999999999997,0.268,1,3,3,162,,,743
LAD,NL,1978,573,95,0.33799999999999997,0.402,0.264,1,2,2,162,,,727
MIL,AL,1978,650,93,0.33899999999999997,0.43200000000000005,0.276,0,,,162,,,804
MIN,AL,1978,678,73,0.33899999999999997,0.375,0.267,0,,,162,,,666
MON,NL,1978,611,76,0.306,0.379,0.254,0,,,162,,,633
NYM,NL,1978,690,66,0.314,0.35200000000000004,0.245,0,,,162,,,607
NYY,AL,1978,582,100,0.32899999999999996,0.38799999999999996,0.267,1,1,1,163,,,735
OAK,AL,1978,690,69,0.303,0.35100000000000003,0.245,0,,,162,,,532
PHI,NL,1978,586,90,0.32799999999999996,0.38799999999999996,0.258,1,4,3,162,,,708
PIT,NL,1978,637,88,0.32,0.385,0.257,0,,,161,,,684
SDP,NL,1978,598,84,0.321,0.348,0.252,0,,,162,,,591
SEA,AL,1978,834,56,0.314,0.359,0.248,0,,,160,,,614
SFG,NL,1978,594,89,0.318,0.374,0.248,0,,,162,,,613
STL,NL,1978,657,69,0.303,0.358,0.249,0,,,162,,,600
TEX,AL,1978,632,87,0.332,0.381,0.253,0,,,162,,,692
TOR,AL,1978,775,59,0.308,0.359,0.25,0,,,161,,,590
ATL,NL,1977,895,61,0.32,0.376,0.254,0,,,162,,,678
BAL,AL,1977,653,97,0.32899999999999996,0.39299999999999996,0.261,0,,,161,,,719
BOS,AL,1977,712,97,0.345,0.465,0.281,0,,,161,,,859
CAL,AL,1977,695,74,0.324,0.386,0.255,0,,,162,,,675
CHC,NL,1977,739,81,0.33,0.387,0.266,0,,,162,,,692
CHW,AL,1977,771,90,0.344,0.444,0.278,0,,,162,,,844
CIN,NL,1977,725,88,0.345,0.436,0.27399999999999997,0,,,162,,,802
CLE,AL,1977,739,71,0.33399999999999996,0.38,0.26899999999999996,0,,,161,,,676
DET,AL,1977,751,74,0.318,0.41,0.264,0,,,162,,,714
HOU,NL,1977,650,81,0.32,0.385,0.254,0,,,162,,,680
KCR,AL,1977,651,102,0.34,0.436,0.27699999999999997,1,1,3,162,,,822
LAD,NL,1977,582,98,0.336,0.418,0.266,1,4,2,162,,,769
MIL,AL,1977,765,67,0.314,0.389,0.258,0,,,162,,,639
MIN,AL,1977,776,84,0.348,0.41700000000000004,0.282,0,,,161,,,867
MON,NL,1977,736,75,0.318,0.402,0.26,0,,,162,,,665
NYM,NL,1977,663,64,0.313,0.34600000000000003,0.244,0,,,162,,,587
NYY,AL,1977,651,100,0.344,0.444,0.281,1,3,1,162,,,831
OAK,AL,1977,749,63,0.308,0.35200000000000004,0.24,0,,,161,,,605
PHI,NL,1977,668,101,0.34600000000000003,0.44799999999999995,0.27899999999999997,1,2,3,162,,,847
PIT,NL,1977,665,96,0.331,0.413,0.27399999999999997,0,,,162,,,734
SDP,NL,1977,834,69,0.324,0.375,0.249,0,,,162,,,692
SEA,AL,1977,855,64,0.312,0.381,0.256,0,,,162,,,624
SFG,NL,1977,711,75,0.32299999999999995,0.38299999999999995,0.253,0,,,162,,,673
STL,NL,1977,688,83,0.33,0.38799999999999996,0.27,0,,,162,,,737
TEX,AL,1977,657,94,0.342,0.405,0.27,0,,,162,,,767
TOR,AL,1977,822,54,0.316,0.365,0.252,0,,,161,,,605
ATL,NL,1976,700,70,0.32,0.33399999999999996,0.245,0,,,162,,,620
BAL,AL,1976,598,88,0.31,0.358,0.243,0,,,162,,,619
BOS,AL,1976,660,83,0.324,0.402,0.263,0,,,162,,,716
CAL,AL,1976,631,76,0.306,0.318,0.235,0,,,162,,,550
CHC,NL,1976,728,75,0.313,0.35600000000000004,0.251,0,,,162,,,611
CHW,AL,1976,745,64,0.314,0.349,0.255,0,,,161,,,586
CIN,NL,1976,633,102,0.35700000000000004,0.424,0.28,1,1,1,162,,,857
CLE,AL,1976,615,81,0.321,0.359,0.263,0,,,159,,,615
DET,AL,1976,709,74,0.315,0.365,0.257,0,,,161,,,609
HOU,NL,1976,657,80,0.322,0.34700000000000003,0.256,0,,,162,,,625
KCR,AL,1976,611,90,0.327,0.371,0.26899999999999996,1,4,3,162,,,713
LAD,NL,1976,543,92,0.313,0.349,0.251,0,,,162,,,608
MIL,AL,1976,655,66,0.311,0.34,0.24600000000000002,0,,,161,,,570
MIN,AL,1976,704,85,0.341,0.375,0.27399999999999997,0,,,162,,,743
MON,NL,1976,734,55,0.29100000000000004,0.34,0.235,0,,,162,,,531
NYM,NL,1976,538,86,0.319,0.35200000000000004,0.24600000000000002,0,,,162,,,615
NYY,AL,1976,575,97,0.32799999999999996,0.389,0.26899999999999996,1,3,2,159,,,730
OAK,AL,1976,598,87,0.32299999999999995,0.361,0.24600000000000002,0,,,161,,,686
PHI,NL,1976,557,101,0.33799999999999997,0.395,0.272,1,2,3,162,,,770
PIT,NL,1976,630,92,0.321,0.391,0.267,0,,,162,,,708
SDP,NL,1976,662,73,0.31,0.337,0.247,0,,,162,,,570
SFG,NL,1976,686,74,0.312,0.345,0.24600000000000002,0,,,162,,,595
STL,NL,1976,671,72,0.32299999999999995,0.359,0.26,0,,,162,,,629
TEX,AL,1976,652,76,0.321,0.341,0.25,0,,,162,,,616
ATL,NL,1975,739,67,0.313,0.34600000000000003,0.244,0,,,161,,,583
BAL,AL,1975,553,90,0.326,0.373,0.252,0,,,159,,,682
BOS,AL,1975,709,95,0.344,0.41700000000000004,0.275,1,3,2,160,,,796
CAL,AL,1975,723,72,0.322,0.32799999999999996,0.24600000000000002,0,,,161,,,628
CHC,NL,1975,827,75,0.33799999999999997,0.368,0.259,0,,,162,,,712
CHW,AL,1975,703,75,0.331,0.358,0.255,0,,,161,,,655
CIN,NL,1975,586,108,0.353,0.401,0.271,1,1,1,162,,,840
